P2000 | Acid Etched (Battle-Scarred)
StatTrak™ P2000 | Gnarled (Field-Tested)
StatTrak™ P2000 | Gnarled (Minimal Wear)
StatTrak™ P2000 | Gnarled (Well-Worn)
StatTrak™ P2000 | Handgun (Battle-Scarred)
StatTrak™ P2000 | Handgun (Factory New)
StatTrak™ P2000 | Handgun (Field-Tested)
StatTrak™ P2000 | Handgun (Minimal Wear)
StatTrak™ P2000 | Handgun (Well-Worn)
StatTrak™ P2000 | Imperial (Factory New)
StatTrak™ P2000 | Imperial (Field-Tested)
StatTrak™ P2000 | Imperial (Minimal Wear)
StatTrak™ P2000 | Imperial Dragon (Battle-Scarred)
StatTrak™ P2000 | Imperial Dragon (Factory New)
StatTrak™ P2000 | Imperial Dragon (Field-Tested)
StatTrak™ P2000 | Imperial Dragon (Minimal Wear)
StatTrak™ P2000 | Imperial Dragon (Well-Worn)
StatTrak™ P2000 | Ivory (Battle-Scarred)
StatTrak™ P2000 | Ivory (Factory New)
StatTrak™ P2000 | Ivory (Field-Tested)
StatTrak™ P2000 | Ivory (Minimal Wear)
StatTrak™ P2000 | Ivory (Well-Worn)
StatTrak™ P2000 | Lifted Spirits (Battle-Scarred)
StatTrak™ P2000 | Lifted Spirits (Factory New)
StatTrak™ P2000 | Lifted Spirits (Field-Tested)
StatTrak™ P2000 | Lifted Spirits (Minimal Wear)
StatTrak™ P2000 | Lifted Spirits (Well-Worn)
StatTrak™ P2000 | Obsidian (Battle-Scarred)
StatTrak™ P2000 | Obsidian (Factory New)
StatTrak™ P2000 | Obsidian (Field-Tested)
StatTrak™ P2000 | Obsidian (Minimal Wear)
StatTrak™ P2000 | Obsidian (Well-Worn)
StatTrak™ P2000 | Ocean Foam (Factory New)
StatTrak™ P2000 | Ocean Foam (Minimal Wear)
StatTrak™ P2000 | Oceanic (Battle-Scarred)
StatTrak™ P2000 | Oceanic (Factory New)
StatTrak™ P2000 | Oceanic (Field-Tested)
StatTrak™ P2000 | Oceanic (Minimal Wear)
StatTrak™ P2000 | Oceanic (Well-Worn)
StatTrak™ P2000 | Pulse (Battle-Scarred)
StatTrak™ P2000 | Pulse (Factory New)
StatTrak™ P2000 | Pulse (Field-Tested)
StatTrak™ P2000 | Pulse (Minimal Wear)
StatTrak™ P2000 | Pulse (Well-Worn)
StatTrak™ P2000 | Red FragCam (Battle-Scarred)
StatTrak™ P2000 | Red FragCam (Factory New)
StatTrak™ P2000 | Red FragCam (Field-Tested)
StatTrak™ P2000 | Red FragCam (Minimal Wear)
StatTrak™ P2000 | Red FragCam (Well-Worn)
StatTrak™ P2000 | Turf (Battle-Scarred)
StatTrak™ P2000 | Turf (Factory New)
StatTrak™ P2000 | Turf (Field-Tested)
StatTrak™ P2000 | Turf (Minimal Wear)
StatTrak™ P2000 | Turf (Well-Worn)
StatTrak™ P2000 | Urban Hazard (Battle-Scarred)
StatTrak™ P2000 | Urban Hazard (Factory New)
StatTrak™ P2000 | Urban Hazard (Field-Tested)
StatTrak™ P2000 | Urban Hazard (Minimal Wear)
StatTrak™ P2000 | Urban Hazard (Well-Worn)
StatTrak™ P2000 | Wicked Sick (Battle-Scarred)
StatTrak™ P2000 | Wicked Sick (Factory New)
StatTrak™ P2000 | Wicked Sick (Field-Tested)
StatTrak™ P2000 | Wicked Sick (Minimal Wear)
StatTrak™ P2000 | Wicked Sick (Well-Worn)
StatTrak™ P2000 | Woodsman (Battle-Scarred)
StatTrak™ P2000 | Woodsman (Factory New)
StatTrak™ P2000 | Woodsman (Field-Tested)
StatTrak™ P2000 | Woodsman (Minimal Wear)
StatTrak™ P2000 | Woodsman (Well-Worn)
