Sawed-Off | Amber Fade (Factory New)
StatTrak™ Sawed-Off | Spirit Board (Battle-Scarred)
StatTrak™ Sawed-Off | Spirit Board (Factory New)
StatTrak™ Sawed-Off | Spirit Board (Field-Tested)
StatTrak™ Sawed-Off | Spirit Board (Minimal Wear)
StatTrak™ Sawed-Off | Spirit Board (Well-Worn)
StatTrak™ Sawed-Off | The Kraken (Factory New)
StatTrak™ Sawed-Off | The Kraken (Field-Tested)
StatTrak™ Sawed-Off | The Kraken (Minimal Wear)
StatTrak™ Sawed-Off | The Kraken (Well-Worn)
StatTrak™ Sawed-Off | Wasteland Princess (Battle-Scarred)
StatTrak™ Sawed-Off | Wasteland Princess (Factory New)
StatTrak™ Sawed-Off | Wasteland Princess (Field-Tested)
StatTrak™ Sawed-Off | Wasteland Princess (Minimal Wear)
StatTrak™ Sawed-Off | Wasteland Princess (Well-Worn)
StatTrak™ Sawed-Off | Yorick (Battle-Scarred)
StatTrak™ Sawed-Off | Yorick (Factory New)
StatTrak™ Sawed-Off | Yorick (Field-Tested)
StatTrak™ Sawed-Off | Yorick (Minimal Wear)
StatTrak™ Sawed-Off | Yorick (Well-Worn)
StatTrak™ Sawed-Off | Zander (Battle-Scarred)
StatTrak™ Sawed-Off | Zander (Factory New)
StatTrak™ Sawed-Off | Zander (Field-Tested)
StatTrak™ Sawed-Off | Zander (Minimal Wear)
StatTrak™ Sawed-Off | Zander (Well-Worn)
