R8 Revolver | Amber Fade (Factory New)
R8 Revolver | Phoenix Marker (Battle-Scarred)
R8 Revolver | Phoenix Marker (Factory New)
R8 Revolver | Phoenix Marker (Field-Tested)
R8 Revolver | Phoenix Marker (Minimal Wear)
R8 Revolver | Phoenix Marker (Well-Worn)
R8 Revolver | Reboot (Battle-Scarred)
R8 Revolver | Reboot (Factory New)
R8 Revolver | Reboot (Field-Tested)
R8 Revolver | Reboot (Minimal Wear)
R8 Revolver | Reboot (Well-Worn)
R8 Revolver | Skull Crusher (Battle-Scarred)
R8 Revolver | Skull Crusher (Field-Tested)
R8 Revolver | Skull Crusher (Well-Worn)
R8 Revolver | Survivalist (Battle-Scarred)
R8 Revolver | Survivalist (Factory New)
R8 Revolver | Survivalist (Field-Tested)
R8 Revolver | Survivalist (Minimal Wear)
R8 Revolver | Survivalist (Well-Worn)
Souvenir R8 Revolver | Amber Fade (Factory New)
Souvenir R8 Revolver | Amber Fade (Field-Tested)
Souvenir R8 Revolver | Amber Fade (Minimal Wear)
Souvenir R8 Revolver | Amber Fade (Well-Worn)
Souvenir R8 Revolver | Bone Mask (Field-Tested)
Souvenir R8 Revolver | Bone Mask (Minimal Wear)
Souvenir R8 Revolver | Desert Brush (Battle-Scarred)
Souvenir R8 Revolver | Desert Brush (Factory New)
Souvenir R8 Revolver | Desert Brush (Field-Tested)
Souvenir R8 Revolver | Desert Brush (Minimal Wear)
Souvenir R8 Revolver | Desert Brush (Well-Worn)
Souvenir R8 Revolver | Night (Battle-Scarred)
Souvenir R8 Revolver | Night (Factory New)
Souvenir R8 Revolver | Night (Field-Tested)
Souvenir R8 Revolver | Night (Minimal Wear)
Souvenir R8 Revolver | Night (Well-Worn)
Souvenir R8 Revolver | Nitro (Battle-Scarred)
Souvenir R8 Revolver | Nitro (Factory New)
Souvenir R8 Revolver | Nitro (Field-Tested)
Souvenir R8 Revolver | Nitro (Minimal Wear)
Souvenir R8 Revolver | Nitro (Well-Worn)
StatTrak™ R8 Revolver | Banana Cannon (Battle-Scarred)
StatTrak™ R8 Revolver | Banana Cannon (Factory New)
StatTrak™ R8 Revolver | Banana Cannon (Field-Tested)
StatTrak™ R8 Revolver | Banana Cannon (Minimal Wear)
StatTrak™ R8 Revolver | Banana Cannon (Well-Worn)
StatTrak™ R8 Revolver | Bone Forged (Battle-Scarred)
StatTrak™ R8 Revolver | Bone Forged (Factory New)
StatTrak™ R8 Revolver | Bone Forged (Field-Tested)
StatTrak™ R8 Revolver | Bone Forged (Minimal Wear)
StatTrak™ R8 Revolver | Bone Forged (Well-Worn)
StatTrak™ R8 Revolver | Crazy 8 (Battle-Scarred)
StatTrak™ R8 Revolver | Crazy 8 (Factory New)
StatTrak™ R8 Revolver | Crazy 8 (Field-Tested)
StatTrak™ R8 Revolver | Crazy 8 (Minimal Wear)
StatTrak™ R8 Revolver | Crazy 8 (Well-Worn)
StatTrak™ R8 Revolver | Crimson Web (Battle-Scarred)
StatTrak™ R8 Revolver | Crimson Web (Factory New)
StatTrak™ R8 Revolver | Crimson Web (Field-Tested)
StatTrak™ R8 Revolver | Crimson Web (Minimal Wear)
StatTrak™ R8 Revolver | Crimson Web (Well-Worn)
StatTrak™ R8 Revolver | Fade (Factory New)
StatTrak™ R8 Revolver | Fade (Field-Tested)
StatTrak™ R8 Revolver | Fade (Minimal Wear)
StatTrak™ R8 Revolver | Fade (Well-Worn)
StatTrak™ R8 Revolver | Grip (Battle-Scarred)
StatTrak™ R8 Revolver | Grip (Factory New)
StatTrak™ R8 Revolver | Grip (Field-Tested)
StatTrak™ R8 Revolver | Grip (Minimal Wear)
StatTrak™ R8 Revolver | Grip (Well-Worn)
StatTrak™ R8 Revolver | Junk Yard (Battle-Scarred)
StatTrak™ R8 Revolver | Junk Yard (Factory New)
StatTrak™ R8 Revolver | Junk Yard (Field-Tested)
StatTrak™ R8 Revolver | Junk Yard (Minimal Wear)
StatTrak™ R8 Revolver | Junk Yard (Well-Worn)
StatTrak™ R8 Revolver | Llama Cannon (Battle-Scarred)
StatTrak™ R8 Revolver | Llama Cannon (Factory New)
StatTrak™ R8 Revolver | Llama Cannon (Field-Tested)
StatTrak™ R8 Revolver | Llama Cannon (Minimal Wear)
StatTrak™ R8 Revolver | Llama Cannon (Well-Worn)
StatTrak™ R8 Revolver | Memento (Battle-Scarred)
StatTrak™ R8 Revolver | Memento (Factory New)
StatTrak™ R8 Revolver | Memento (Field-Tested)
StatTrak™ R8 Revolver | Memento (Minimal Wear)
StatTrak™ R8 Revolver | Memento (Well-Worn)
StatTrak™ R8 Revolver | Reboot (Battle-Scarred)
StatTrak™ R8 Revolver | Reboot (Factory New)
StatTrak™ R8 Revolver | Reboot (Field-Tested)
StatTrak™ R8 Revolver | Reboot (Minimal Wear)
StatTrak™ R8 Revolver | Reboot (Well-Worn)
StatTrak™ R8 Revolver | Skull Crusher (Battle-Scarred)
StatTrak™ R8 Revolver | Skull Crusher (Field-Tested)
StatTrak™ R8 Revolver | Skull Crusher (Well-Worn)
StatTrak™ R8 Revolver | Survivalist (Battle-Scarred)
StatTrak™ R8 Revolver | Survivalist (Factory New)
StatTrak™ R8 Revolver | Survivalist (Field-Tested)
StatTrak™ R8 Revolver | Survivalist (Minimal Wear)
StatTrak™ R8 Revolver | Survivalist (Well-Worn)
