G3SG1 | Ancient Ritual (Battle-Scarred)
G3SG1 | Hunter (Factory New)
G3SG1 | Hunter (Field-Tested)
G3SG1 | Hunter (Minimal Wear)
G3SG1 | Hunter (Well-Worn)
G3SG1 | Jungle Dashed (Battle-Scarred)
G3SG1 | Jungle Dashed (Factory New)
G3SG1 | Jungle Dashed (Field-Tested)
G3SG1 | Jungle Dashed (Minimal Wear)
G3SG1 | Jungle Dashed (Well-Worn)
G3SG1 | Keeping Tabs (Battle-Scarred)
G3SG1 | Keeping Tabs (Factory New)
G3SG1 | Keeping Tabs (Field-Tested)
G3SG1 | Keeping Tabs (Minimal Wear)
G3SG1 | Keeping Tabs (Well-Worn)
G3SG1 | Murky (Factory New)
G3SG1 | Murky (Field-Tested)
G3SG1 | Murky (Minimal Wear)
G3SG1 | New Roots (Battle-Scarred)
G3SG1 | New Roots (Factory New)
G3SG1 | New Roots (Field-Tested)
G3SG1 | New Roots (Minimal Wear)
G3SG1 | New Roots (Well-Worn)
G3SG1 | Orange Crash (Battle-Scarred)
G3SG1 | Orange Crash (Factory New)
G3SG1 | Orange Crash (Field-Tested)
G3SG1 | Orange Crash (Minimal Wear)
G3SG1 | Orange Crash (Well-Worn)
G3SG1 | Orange Kimono (Battle-Scarred)
G3SG1 | Orange Kimono (Factory New)
G3SG1 | Orange Kimono (Field-Tested)
G3SG1 | Orange Kimono (Minimal Wear)
G3SG1 | Orange Kimono (Well-Worn)
G3SG1 | Polar Camo (Battle-Scarred)
G3SG1 | Polar Camo (Factory New)
G3SG1 | Polar Camo (Field-Tested)
G3SG1 | Polar Camo (Minimal Wear)
G3SG1 | Polar Camo (Well-Worn)
G3SG1 | Safari Mesh (Battle-Scarred)
G3SG1 | Safari Mesh (Factory New)
G3SG1 | Safari Mesh (Field-Tested)
G3SG1 | Safari Mesh (Minimal Wear)
G3SG1 | Safari Mesh (Well-Worn)
G3SG1 | Scavenger (Battle-Scarred)
G3SG1 | Scavenger (Factory New)
G3SG1 | Scavenger (Field-Tested)
G3SG1 | Scavenger (Minimal Wear)
G3SG1 | Scavenger (Well-Worn)
G3SG1 | Stinger (Battle-Scarred)
G3SG1 | Stinger (Factory New)
G3SG1 | Stinger (Field-Tested)
G3SG1 | Stinger (Minimal Wear)
G3SG1 | Stinger (Well-Worn)
G3SG1 | The Executioner (Battle-Scarred)
G3SG1 | The Executioner (Field-Tested)
G3SG1 | The Executioner (Minimal Wear)
G3SG1 | The Executioner (Well-Worn)
G3SG1 | VariCamo (Battle-Scarred)
G3SG1 | VariCamo (Factory New)
G3SG1 | VariCamo (Field-Tested)
G3SG1 | VariCamo (Minimal Wear)
G3SG1 | VariCamo (Well-Worn)
G3SG1 | Ventilator (Factory New)
G3SG1 | Ventilator (Field-Tested)
G3SG1 | Ventilator (Minimal Wear)
G3SG1 | Ventilator (Well-Worn)
G3SG1 | Violet Murano (Battle-Scarred)
G3SG1 | Violet Murano (Factory New)
G3SG1 | Violet Murano (Field-Tested)
G3SG1 | Violet Murano (Minimal Wear)
G3SG1 | Violet Murano (Well-Worn)
Souvenir G3SG1 | Ancient Ritual (Battle-Scarred)
Souvenir G3SG1 | Ancient Ritual (Factory New)
Souvenir G3SG1 | Ancient Ritual (Field-Tested)
Souvenir G3SG1 | Ancient Ritual (Minimal Wear)
Souvenir G3SG1 | Ancient Ritual (Well-Worn)
Souvenir G3SG1 | Desert Storm (Battle-Scarred)
Souvenir G3SG1 | Desert Storm (Factory New)
Souvenir G3SG1 | Desert Storm (Field-Tested)
Souvenir G3SG1 | Desert Storm (Minimal Wear)
Souvenir G3SG1 | Desert Storm (Well-Worn)
Souvenir G3SG1 | Jungle Dashed (Battle-Scarred)
Souvenir G3SG1 | Jungle Dashed (Factory New)
Souvenir G3SG1 | Jungle Dashed (Field-Tested)
Souvenir G3SG1 | Jungle Dashed (Minimal Wear)
Souvenir G3SG1 | Jungle Dashed (Well-Worn)
Souvenir G3SG1 | New Roots (Battle-Scarred)
Souvenir G3SG1 | New Roots (Factory New)
Souvenir G3SG1 | New Roots (Field-Tested)
Souvenir G3SG1 | New Roots (Minimal Wear)
Souvenir G3SG1 | New Roots (Well-Worn)
Souvenir G3SG1 | Polar Camo (Battle-Scarred)
Souvenir G3SG1 | Polar Camo (Factory New)
Souvenir G3SG1 | Polar Camo (Field-Tested)
Souvenir G3SG1 | Polar Camo (Minimal Wear)
Souvenir G3SG1 | Polar Camo (Well-Worn)
Souvenir G3SG1 | Safari Mesh (Battle-Scarred)
Souvenir G3SG1 | Safari Mesh (Factory New)
Souvenir G3SG1 | Safari Mesh (Field-Tested)
Souvenir G3SG1 | Safari Mesh (Minimal Wear)
Souvenir G3SG1 | Safari Mesh (Well-Worn)
Souvenir G3SG1 | VariCamo (Battle-Scarred)
Souvenir G3SG1 | VariCamo (Factory New)
Souvenir G3SG1 | VariCamo (Field-Tested)
Souvenir G3SG1 | VariCamo (Minimal Wear)
Souvenir G3SG1 | VariCamo (Well-Worn)
StatTrak™ G3SG1 | Azure Zebra (Factory New)
StatTrak™ G3SG1 | Azure Zebra (Field-Tested)
StatTrak™ G3SG1 | Azure Zebra (Minimal Wear)
StatTrak™ G3SG1 | Black Sand (Battle-Scarred)
StatTrak™ G3SG1 | Black Sand (Factory New)
StatTrak™ G3SG1 | Black Sand (Field-Tested)
StatTrak™ G3SG1 | Black Sand (Minimal Wear)
StatTrak™ G3SG1 | Black Sand (Well-Worn)
StatTrak™ G3SG1 | Demeter (Battle-Scarred)
StatTrak™ G3SG1 | Demeter (Factory New)
StatTrak™ G3SG1 | Demeter (Field-Tested)
StatTrak™ G3SG1 | Demeter (Minimal Wear)
StatTrak™ G3SG1 | Demeter (Well-Worn)
StatTrak™ G3SG1 | Digital Mesh (Battle-Scarred)
StatTrak™ G3SG1 | Digital Mesh (Factory New)
StatTrak™ G3SG1 | Digital Mesh (Field-Tested)
StatTrak™ G3SG1 | Digital Mesh (Minimal Wear)
StatTrak™ G3SG1 | Digital Mesh (Well-Worn)
StatTrak™ G3SG1 | Dream Glade (Battle-Scarred)
StatTrak™ G3SG1 | Dream Glade (Factory New)
StatTrak™ G3SG1 | Dream Glade (Field-Tested)
StatTrak™ G3SG1 | Dream Glade (Minimal Wear)
StatTrak™ G3SG1 | Dream Glade (Well-Worn)
StatTrak™ G3SG1 | Flux (Battle-Scarred)
StatTrak™ G3SG1 | Flux (Factory New)
StatTrak™ G3SG1 | Flux (Field-Tested)
StatTrak™ G3SG1 | Flux (Minimal Wear)
StatTrak™ G3SG1 | Flux (Well-Worn)
StatTrak™ G3SG1 | High Seas (Battle-Scarred)
StatTrak™ G3SG1 | High Seas (Factory New)
StatTrak™ G3SG1 | High Seas (Field-Tested)
StatTrak™ G3SG1 | High Seas (Minimal Wear)
StatTrak™ G3SG1 | High Seas (Well-Worn)
StatTrak™ G3SG1 | Hunter (Battle-Scarred)
StatTrak™ G3SG1 | Hunter (Factory New)
StatTrak™ G3SG1 | Hunter (Field-Tested)
StatTrak™ G3SG1 | Hunter (Minimal Wear)
StatTrak™ G3SG1 | Hunter (Well-Worn)
StatTrak™ G3SG1 | Keeping Tabs (Battle-Scarred)
StatTrak™ G3SG1 | Keeping Tabs (Factory New)
StatTrak™ G3SG1 | Keeping Tabs (Field-Tested)
StatTrak™ G3SG1 | Keeping Tabs (Minimal Wear)
StatTrak™ G3SG1 | Keeping Tabs (Well-Worn)
StatTrak™ G3SG1 | Murky (Factory New)
StatTrak™ G3SG1 | Murky (Field-Tested)
StatTrak™ G3SG1 | Murky (Minimal Wear)
StatTrak™ G3SG1 | Orange Crash (Battle-Scarred)
StatTrak™ G3SG1 | Orange Crash (Factory New)
StatTrak™ G3SG1 | Orange Crash (Field-Tested)
StatTrak™ G3SG1 | Orange Crash (Minimal Wear)
StatTrak™ G3SG1 | Orange Crash (Well-Worn)
StatTrak™ G3SG1 | Scavenger (Battle-Scarred)
StatTrak™ G3SG1 | Scavenger (Factory New)
StatTrak™ G3SG1 | Scavenger (Field-Tested)
StatTrak™ G3SG1 | Scavenger (Minimal Wear)
StatTrak™ G3SG1 | Scavenger (Well-Worn)
StatTrak™ G3SG1 | Stinger (Battle-Scarred)
StatTrak™ G3SG1 | Stinger (Factory New)
StatTrak™ G3SG1 | Stinger (Field-Tested)
StatTrak™ G3SG1 | Stinger (Minimal Wear)
StatTrak™ G3SG1 | Stinger (Well-Worn)
StatTrak™ G3SG1 | The Executioner (Battle-Scarred)
StatTrak™ G3SG1 | The Executioner (Field-Tested)
StatTrak™ G3SG1 | The Executioner (Minimal Wear)
StatTrak™ G3SG1 | The Executioner (Well-Worn)
StatTrak™ G3SG1 | Ventilator (Factory New)
StatTrak™ G3SG1 | Ventilator (Field-Tested)
StatTrak™ G3SG1 | Ventilator (Minimal Wear)
StatTrak™ G3SG1 | Ventilator (Well-Worn)
