Negev | Anodized Navy (Factory New)
StatTrak™ Negev | Dazzle (Battle-Scarred)
StatTrak™ Negev | Dazzle (Field-Tested)
StatTrak™ Negev | Dazzle (Minimal Wear)
StatTrak™ Negev | Dazzle (Well-Worn)
StatTrak™ Negev | Desert-Strike (Battle-Scarred)
StatTrak™ Negev | Desert-Strike (Factory New)
StatTrak™ Negev | Desert-Strike (Field-Tested)
StatTrak™ Negev | Desert-Strike (Minimal Wear)
StatTrak™ Negev | Desert-Strike (Well-Worn)
StatTrak™ Negev | Drop Me (Battle-Scarred)
StatTrak™ Negev | Drop Me (Factory New)
StatTrak™ Negev | Drop Me (Field-Tested)
StatTrak™ Negev | Drop Me (Minimal Wear)
StatTrak™ Negev | Drop Me (Well-Worn)
StatTrak™ Negev | Lionfish (Battle-Scarred)
StatTrak™ Negev | Lionfish (Factory New)
StatTrak™ Negev | Lionfish (Field-Tested)
StatTrak™ Negev | Lionfish (Minimal Wear)
StatTrak™ Negev | Lionfish (Well-Worn)
StatTrak™ Negev | Loudmouth (Battle-Scarred)
StatTrak™ Negev | Loudmouth (Field-Tested)
StatTrak™ Negev | Loudmouth (Minimal Wear)
StatTrak™ Negev | Loudmouth (Well-Worn)
StatTrak™ Negev | Man-o'-war (Field-Tested)
StatTrak™ Negev | Man-o'-war (Minimal Wear)
StatTrak™ Negev | Power Loader (Battle-Scarred)
StatTrak™ Negev | Power Loader (Factory New)
StatTrak™ Negev | Power Loader (Field-Tested)
StatTrak™ Negev | Power Loader (Minimal Wear)
StatTrak™ Negev | Power Loader (Well-Worn)
StatTrak™ Negev | Prototype (Battle-Scarred)
StatTrak™ Negev | Prototype (Factory New)
StatTrak™ Negev | Prototype (Field-Tested)
StatTrak™ Negev | Prototype (Minimal Wear)
StatTrak™ Negev | Prototype (Well-Worn)
StatTrak™ Negev | Terrain (Factory New)
StatTrak™ Negev | Terrain (Field-Tested)
StatTrak™ Negev | Terrain (Minimal Wear)
StatTrak™ Negev | Terrain (Well-Worn)
StatTrak™ Negev | Ultralight (Battle-Scarred)
StatTrak™ Negev | Ultralight (Factory New)
StatTrak™ Negev | Ultralight (Field-Tested)
StatTrak™ Negev | Ultralight (Minimal Wear)
StatTrak™ Negev | Ultralight (Well-Worn)
StatTrak™ Negev | dev_texture (Battle-Scarred)
StatTrak™ Negev | dev_texture (Factory New)
StatTrak™ Negev | dev_texture (Field-Tested)
StatTrak™ Negev | dev_texture (Minimal Wear)
StatTrak™ Negev | dev_texture (Well-Worn)
