MP5-SD | Acid Wash (Battle-Scarred)
StatTrak™ MP5-SD | Kitbash (Minimal Wear)
StatTrak™ MP5-SD | Kitbash (Well-Worn)
StatTrak™ MP5-SD | Liquidation (Battle-Scarred)
StatTrak™ MP5-SD | Liquidation (Factory New)
StatTrak™ MP5-SD | Liquidation (Field-Tested)
StatTrak™ MP5-SD | Liquidation (Minimal Wear)
StatTrak™ MP5-SD | Liquidation (Well-Worn)
StatTrak™ MP5-SD | Necro Jr. (Battle-Scarred)
StatTrak™ MP5-SD | Necro Jr. (Factory New)
StatTrak™ MP5-SD | Necro Jr. (Field-Tested)
StatTrak™ MP5-SD | Necro Jr. (Minimal Wear)
StatTrak™ MP5-SD | Necro Jr. (Well-Worn)
StatTrak™ MP5-SD | Phosphor (Battle-Scarred)
StatTrak™ MP5-SD | Phosphor (Factory New)
StatTrak™ MP5-SD | Phosphor (Field-Tested)
StatTrak™ MP5-SD | Phosphor (Minimal Wear)
StatTrak™ MP5-SD | Phosphor (Well-Worn)
